,Feature,Importance
0,Q92520,0.06221874
1,P04180,0.03915829
2,P07602,0.027658928
3,Q06481,0.025279338
4,P80748,0.016234968
5,P05090,0.015495804
6,P13987,0.014801109
7,P51884,0.013371887
8,P02748,0.0130560445
9,P16870,0.013044138
10,P16035,0.013040493
11,P17174,0.013040106
12,P01860,0.013039005
13,P02753,0.0129491985
14,P04216,0.012799821
15,Q14118,0.012191367
16,P13473,0.011970223
17,P07195,0.011792876
18,P23083,0.011736121
19,P05067,0.010785244
20,Q96BZ4,0.010307044
21,P61916,0.010131457
22,P05155,0.009721741
23,P39060,0.009703431
24,Q6UXB8,0.00969051
25,P13591,0.009663769
26,P07858,0.009612303
27,P09486,0.0095489165
28,P06681,0.009289276
29,P01033,0.008734019
30,Q9Y6R7,0.008674724
31,P02787,0.00829679
32,P25311,0.008214561
33,P19021,0.0080585815
34,P01034,0.007920739
35,P12109,0.007880129
36,Q13740,0.0075515434
37,P02671,0.0074509233
38,P00746,0.007171283
39,P01834,0.0069970023
40,P02656,0.006985448
41,P02774,0.006954437
42,P01717,0.006946486
43,P04207,0.0068197977
44,P31997,0.00674102
45,P05452,0.0067193257
46,P10909,0.006613194
47,P14174,0.0065962216
48,P07711,0.0063912766
49,P09104,0.0062704682
50,P16070,0.006076361
51,Q8IWV7,0.0060425717
52,P13521,0.006020546
53,Q96S96,0.0059336834
54,P01031,0.0058444957
55,P01011,0.005714113
56,P01009,0.0056951353
57,P41222,0.0056709796
58,Q8N2S1,0.0054795668
59,Q99969,0.0054341173
60,P01877,0.0054137483
61,P08133,0.005387127
62,P20933,0.005304215
63,Q16270,0.0052079945
64,Q13451,0.005184763
65,P02766,0.005172112
66,O14773,0.0051554223
67,P19827,0.0051082806
68,P06310,0.0049965456
69,Q8NE71,0.004976736
70,P36222,0.0049647563
71,P40925,0.004881384
72,P00748,0.004858658
73,Q13332,0.004819897
74,P01780,0.004685513
75,P08493,0.004638676
76,P17936,0.0044988925
77,P30086,0.004455808
78,P02652,0.0044521866
79,Q6UXD5,0.0042681256
80,Q9UNU6,0.004130344
81,P01344,0.0040546693
82,P05156,0.0039529363
83,Q9Y646,0.0039330707
84,P01859,0.003923425
85,P14314,0.00375312
86,Q9NQ79,0.003731536
87,P00736,0.003715345
88,O75144,0.003684937
89,Q99829,0.0035345189
90,P01023,0.0034875982
91,P01857,0.0033775407
92,Q99683,0.0033189452
93,P32754,0.0031521001
94,P08637,0.0030806304
95,P04433,0.0030772625
96,P60174,0.0030671812
97,P61626,0.0029612822
98,P08253,0.0029455295
99,P43251,0.002893517
100,P00751,0.0028669573
101,P08123,0.002839367
102,P04004,0.0028006514
103,P24592,0.002793036
104,P00738,0.002771445
105,Q14624,0.002743686
106,Q15904,0.002735923
107,P07333,0.0027294927
108,P01594,0.0026921192
109,Q562R1,0.0026863243
110,P02760,0.002657139
111,P06727,0.0026393766
112,P14618,0.0026213941
113,P36980,0.0025907161
114,P16152,0.0025847033
115,P27169,0.002565783
116,P01861,0.0025141353
117,P04196,0.0025006644
118,Q13449,0.0024741795
119,P61769,0.0024635203
120,Q12907,0.0024311517
121,P01608,0.0023924462
122,P02649,0.0023495606
123,Q14508,0.0023389065
124,Q96PD5,0.0023371994
125,P02750,0.0023110535
126,P01024,0.0022483692
127,P01876,0.0022409817
128,P11142,0.0022298014
129,P11277,0.0022293902
130,P01591,0.0022222607
131,P36955,0.0021629354
132,P43121,0.0021584881
133,Q02818,0.0021490294
134,O14498,0.0020697268
135,P02647,0.0020431317
136,P01042,0.0020251235
137,Q99435,0.0020139269
138,P02792,0.0019990585
139,P35542,0.0019598058
140,P01019,0.0019377245
141,Q12841,0.0019046413
142,P19652,0.0018813723
143,P02749,0.0018258473
144,P01008,0.0017963789
145,P43652,0.0017831782
146,P13611,0.0017611855
147,Q12805,0.0017014674
148,Q9UBR2,0.0016809405
149,O00584,0.0016730188
150,P02765,0.0016149122
151,P05546,0.0015692806
152,P01833,0.0015149233
153,Q9BY67,0.0014558412
154,P10645,0.0014431367
155,Q13283,0.0013360038
156,Q7Z5P9,0.0013351139
157,P02655,0.0013124145
158,P06396,0.0012917122
159,P08571,0.0012606403
160,O14791,0.0012368337
161,P49588,0.0012034923
162,O00533,0.0011901103
163,P10643,0.0011741521
164,P07225,0.0011321517
165,P00747,0.0011194161
166,P09871,0.001088409
167,P00441,0.0010821047
168,O94919,0.0010482355
169,P10451,0.0010437536
170,P04075,0.0009832631
171,Q9UBX5,0.0009770811
172,P98160,0.00096761214
173,P19823,0.00095529447
174,P02452,0.000909425
175,P61278,0.0009082
176,P13671,0.0009013102
177,P04211,0.000878638
178,Q7Z3B1,0.00081127876
179,Q14515,0.00078407925
180,P01621,0.0007382031
181,P05060,0.0007325195
182,P02747,0.00072270475
183,Q9UKV8,0.0007098275
184,P00734,0.00070328976
185,P55290,0.00066707743
186,P05408,0.0006570446
187,P18065,0.00065011147
188,P08294,0.00064640364
189,P07339,0.00063052296
190,P02768,0.0006288891
191,P02675,0.0006139539
192,P49908,0.00061233004
193,Q16610,0.0005753097
194,Q6UX71,0.00056864537
195,O00391,0.0005661114
196,P23142,0.00054531056
197,Q99674,0.00053512683
198,Q96KN2,0.00050601637
199,P02751,0.00046958265
200,P02790,0.00046878538
201,O15394,0.00043721747
202,O75326,0.0004335154
203,Q92876,0.00041632346
204,Q9HDC9,0.00041596888
205,O15240,0.0004156125
206,P06454,0.00038555948
207,P04275,0.00037869433
208,P07998,0.0003661102
209,P04156,0.00036015263
210,P54289,0.00031409072
211,O60888,0.0002832404
212,P08603,0.00021387379
213,P00450,0.0002090619
214,P08697,0.0002059108
215,P20774,0.00020559793
216,Q8NBJ4,0.0001793027
217,P02763,0.0001268336
218,P02679,0.00012545673
219,P04217,0.000103511156
220,Q99832,0.00010331732
221,O43505,9.950862e-05
222,Q92823,6.377323e-05
223,Q9NYU2,5.478527e-05
224,Q08380,3.715907e-05
225,P04406,1.8366234e-05
226,Q9UHG2,3.7716482e-06
